丁	秨絃基	程蔼基	程基	Μ絃基	Θユ秖	А基[5]	А基[20]	А基[60]	А基[120]	А秖[5]	А秖[20]	А秖[60]	А秖[120]
110000	16828	16834	16821	16823	428	16831□	16819◆	16818□	16853□	376◆	445□	851□	984□
110100	16825	16835	16824	16831	259	16829□	16820◆	16817□	16853□	317□	439□	845□	975□
110200	16832	16837	16830	16834	274	16830◆	16821◆	16818◆	16852□	289□	431□	818□	969□
110300	16834	16836	16822	16825	285	16828□	16821◆	16818◆	16852□	285□	422□	805□	959□
110400	16825	16834	16823	16829	240	16829◆	16823◆	16818◆	16851□	297◆	400□	797□	951□
110500	16829	16834	16829	16831	139	16830◆	16824◆	16818□	16851□	240□	373□	770□	937□
110600	16831	16836	16825	16827	219	16829□	16825◆	16817□	16850□	232□	370□	764□	925□
110700	16827	16833	16823	16829	221	16828□	16826◆	16818◆	16850□	221□	358□	758□	916□
110800	16828	16832	16824	16826	229	16829◆	16827◆	16818◆	16849□	210□	339□	744□	912□
110900	16825	16825	16805	16806	1083	16824□	16827□	16818□	16848□	378◆	372◆	739□	912□
111000	16807	16815	16802	16815	536	16821□	16827□	16818◆	16848□	458◆	385◆	627□	910□
111100	16814	16816	16804	16807	303	16817□	16826□	16819◆	16847□	475◆	353□	608□	901□
111200	16808	16809	16803	16808	292	16813□	16825□	16819◆	16846□	489◆	347□	591□	895□
111300	16807	16812	16806	16811	197	16810□	16824□	16820◆	16845□	482□	335□	567□	887□
111400	16811	16812	16803	16806	289	16810	16823□	16820◆	16844□	324□	340◆	550□	884□
111500	16806	16814	16804	16805	328	16808□	16822□	16820◆	16843□	282□	339□	534□	861□
111600	16804	16805	16778	16779	1702	16802□	16819□	16819□	16842□	562◆	396◆	534◆	864◆
111700	16780	16789	16778	16785	464	16797□	16817□	16819□	16841□	596◆	399◆	529□	860□
111800	16784	16791	16778	16780	633	16791□	16814□	16819□	16839□	683◆	415◆	526□	859□
111900	16780	16791	16779	16788	440	16788□	16812□	16818□	16838□	714◆	428◆	522□	853□
112000	16788	16789	16781	16788	305	16784□	16811□	16818□	16837□	709□	422□	520□	848□
112100	16788	16807	16784	16805	762	16789◆	16809□	16818□	16836□	521□	447◆	518□	847□
112200	16805	16812	16799	16804	652	16793◆	16808□	16818□	16836□	559◆	466◆	498□	841□
112300	16805	16810	16803	16810	268	16799◆	16807□	16817□	16835□	486□	465□	494□	833□
112400	16810	16812	16806	16810	261	16804◆	16806□	16817□	16834□	450□	466◆	490□	827□
112500	16810	16811	16805	16806	200	16807◆	16805□	16816□	16834□	429□	469◆	477□	819□
112600	16807	16823	16807	16816	683	16809◆	16804□	16816□	16833□	413□	493◆	480◆	814□
112700	16814	16822	16811	16818	382	16812◆	16804□	16816□	16832□	359□	501◆	480□	813□
112800	16820	16823	16819	16821	248	16814◆	16804□	16815□	16831□	355□	502◆	477□	805□
112900	16820	16822	16816	16816	193	16816◆	16804◆	16815□	16830□	341□	457□	470□	802□
113000	16816	16818	16805	16806	462	16816	16804□	16815□	16829□	394◆	453□	463□	794□
113100	16806	16807	16797	16802	464	16813□	16803□	16815□	16828□	350□	461◆	462□	793□
113200	16801	16809	16791	16797	441	16809□	16803□	16814□	16827□	362◆	469◆	464◆	788□
113300	16798	16799	16794	16796	280	16804□	16802□	16814□	16827□	368◆	473◆	461□	780□
113400	16795	16805	16795	16797	249	16800□	16802□	16813□	16826□	379◆	471□	442□	773□
113500	16796	16797	16786	16791	425	16797□	16801□	16813□	16825□	372□	476◆	441□	768□
113600	16791	16796	16787	16791	338	16795□	16801◆	16812□	16824□	347□	408□	441◆	760□
113700	16793	16798	16788	16790	319	16793□	16802◆	16812□	16824□	322□	400□	431□	749□
113800	16792	16798	16790	16797	153	16793◆	16803◆	16812□	16823□	297□	376□	422□	743□
113900	16797	16805	16795	16798	302	16794◆	16803◆	16811□	16823□	308◆	369□	418□	726□
114000	16798	16800	16791	16791	206	16794	16803◆	16811□	16822□	264□	365□	410□	711□
114100	16792	16795	16787	16788	296	16793□	16802□	16810□	16821□	255□	341□	409□	708□
114200	16787	16792	16781	16781	431	16791□	16801□	16810□	16820□	278◆	330□	409□	705□
114300	16781	16787	16772	16773	901	16786□	16799□	16809□	16819□	427◆	362◆	416◆	703□
114400	16775	16780	16766	16768	713	16780□	16797□	16809□	16818□	510◆	384◆	417◆	701□
114500	16767	16781	16766	16777	944	16778□	16796□	16808□	16817□	657◆	422◆	421◆	696□
114600	16778	16788	16774	16777	438	16775□	16794□	16808□	16817□	686◆	409□	424◆	691□
114700	16776	16776	16762	16772	830	16774□	16792□	16807□	16816□	765◆	432◆	430◆	693◆
114800	16772	16776	16765	16766	350	16772□	16789□	16807□	16815□	655□	437◆	426□	689□
114900	16765	16768	16763	16763	458	16771□	16786□	16806□	16814□	604□	450◆	426◆	688□
115000	16763	16768	16761	16764	440	16769□	16784□	16805□	16813□	503□	449□	429◆	683□
115100	16764	16773	16764	16767	324	16767□	16782□	16804□	16812□	481□	442□	419□	675□
115200	16766	16776	16765	16774	352	16767◆	16781□	16803□	16812□	385□	438□	418□	666□
115300	16774	16782	16770	16778	476	16769◆	16780□	16802□	16811□	410◆	447◆	419◆	662□
115400	16777	16779	16770	16777	209	16772◆	16779□	16801□	16811□	360□	445□	419◆	651□
115500	16777	16778	16764	16769	398	16773◆	16778□	16800□	16810□	352□	444□	420◆	647□
115600	16768	16771	16766	16766	190	16773□	16777□	16799□	16809□	325□	437□	413□	642□
115700	16766	16773	16749	16773	2352	16773□	16776□	16798□	16809□	725◆	538◆	446◆	657◆
115800	16773	16773	16768	16768	326	16771□	16775□	16797□	16808□	695□	547◆	446◆	656□
115900	16768	16780	16768	16778	677	16771◆	16774□	16796□	16807□	789◆	566◆	454◆	657◆
120000	16778	16783	16766	16771	655	16771◆	16773□	16795□	16807□	840◆	588◆	458◆	655□
120100	16771	16777	16769	16776	274	16773◆	16772□	16795□	16806□	857◆	587□	458◆	652□
120200	16774	16780	16773	16777	299	16774◆	16772□	16794□	16806□	446□	580□	459◆	639□
120300	16778	16786	16778	16783	433	16777◆	16772◆	16793□	16805□	468◆	557□	461◆	633□
120400	16784	16795	16783	16789	772	16779◆	16773◆	16792□	16805□	487◆	560◆	470◆	634◆
120500	16788	16790	16776	16780	535	16781◆	16774◆	16791□	16804□	463□	540□	477◆	623□
120600	16779	16782	16776	16781	228	16782◆	16774◆	16791□	16804□	454□	529□	477◆	620□
120700	16780	16782	16777	16779	134	16783◆	16774◆	16790□	16804□	421□	494□	476□	617□
