number,date,work,person_1,person_2,vedio,station,,,,place,others_1,others_2,
,日期,      活       （專場、隊、時間）,逗哏,捧哏,片源,網站,單/群,相聲劇, 返場 （已觀看）,地點/專場/其他,補充,,
230,20190713,黃鶴樓,孟鶴堂,周九良,,官錄,,,,瀋陽專場,,,
231,20190713,拴娃娃,孟鶴堂,周九良,,官錄,,,,瀋陽專場,,,
232,20190713,返場,孟鶴堂,周九良,,官錄,,,,瀋陽專場,,,
233,20190715,（救場）,秦霄賢、何九華、張九泰,,大?四方字幕?,YouTube,,,,湖廣會場,,,
234,20190720,相面,張九南,高九成,拖拉機字幕?,YouTube,,,,湖廣會場,,,
235,20190721,返場（黃鶴樓）,劉筱亭、秦霄賢、孫九芳,,七七如律令字幕?,YouTube,群,,ν,哈德晚場,,,
236,20190721,返場,劉筱亭、秦霄賢、孫九芳、郭霄漢,,七七如律令字幕?,YouTube,群,,ν,哈德晚場,賢《再見你好》、亭《往後餘生》、賢芳亭《後來》,,
237,20190724,學方言,孫九芳,郭霄漢,拆包裹字幕組,YouTube,,,,廣德樓,,,
238,20190725,武墜子,孫九芳,郭霄漢,拆包裹字幕組,YouTube,,,,廣德樓,,,
239,20190726,汾河灣,尚九熙,何九華,一?白?字幕?,YouTube,,,,湖廣會場,窯門裡以外,,
240,20190727,學啞語,尚九熙,何九華,,,,,,,,,
